车型,城市,上牌量,级别,指导价(万元),能源类型,price_mean_auto,cluster
揽胜运动版,北京,36,SUV,95.00-243.80,燃油车,169.4,0
锋兰达,淄博,36,SUV,12.58-18.48,燃油车,15.530000000000001,0
五菱宏光S,德州,34,MPV,0.00-0.00,燃油车,0.0,0
海鸥,黄冈,83,小型车,6.98-8.58,新能源,7.78,1
宝骏悦也Plus,济宁,27,SUV,7.68-10.58,燃油车,9.129999999999999,0
宝马X1,保定,27,SUV,28.89-34.99,燃油车,31.94,0
Model Y,南宁,176,SUV,26.35-31.35,新能源,28.85,1
极氪7X,佛山,105,SUV,22.99-26.99,新能源,24.99,1
宝马3系,铜陵,35,中型车,29.99-39.99,燃油车,34.99,0
天籁,南通,46,中型车,17.98-23.98,燃油车,20.98,0
秦L,新乡,77,中型车,9.98-15.38,新能源,12.68,1
君越,许昌,19,中型车,17.99-23.99,燃油车,20.99,0
零跑C10,淮北,20,SUV,12.28-16.88,新能源,14.579999999999998,1
长安CS75 PLUS,上海,123,SUV,11.39-14.99,燃油车,13.190000000000001,0
凌渡,成都,77,紧凑型车,14.39-19.09,燃油车,16.740000000000002,0
海狮05 EV,温州,171,SUV,11.78-13.78,新能源,12.78,1
长安CS75 PLUS,南京,80,SUV,11.39-14.99,燃油车,13.190000000000001,0
红旗HS3 PHEV,金华,20,SUV,15.98-15.98,新能源,15.98,1
奔驰GLC,佛山,112,SUV,42.78-53.13,燃油车,47.955,0
博越,固原,23,SUV,9.28-12.58,燃油车,10.93,0
瑞虎8L,兰州,20,SUV,12.99-17.49,燃油车,15.239999999999998,0
瑞虎3x,长沙,13,SUV,4.99-8.49,燃油车,6.74,0
汉L,柳州,16,中大型车,20.98-27.98,新能源,24.48,1
皓影,白城,14,SUV,18.59-26.39,燃油车,22.490000000000002,0
唐L,徐州,28,SUV,22.98-28.98,新能源,25.98,1
奔驰E级,西安,142,中大型车,44.72-59.98,燃油车,52.349999999999994,0
逍客,惠州,33,SUV,12.59-17.49,燃油车,15.04,0
风云T9,包头,35,SUV,12.99-19.39,燃油车,16.19,0
宋L DM-i,平顶山,42,SUV,13.58-17.58,新能源,15.579999999999998,1
皓影,汕尾,25,SUV,18.59-26.39,燃油车,22.490000000000002,0
零跑C11,岳阳,18,SUV,14.88-20.98,新能源,17.93,1
哈弗猛龙新能源,苏州,30,SUV,16.58-19.28,新能源,17.93,1
凡尔赛C5 X,昆明,27,中型车,9.97-18.67,燃油车,14.32,0
星越L,芜湖,64,SUV,13.72-17.97,燃油车,15.844999999999999,0
风云A8,南宁,14,紧凑型车,7.99-14.99,燃油车,11.49,0
红旗HS3 PHEV,朔州,12,SUV,15.98-15.98,新能源,15.98,1
马自达3 昂克赛拉,宁波,17,紧凑型车,8.99-18.99,燃油车,13.989999999999998,0
五菱缤果PLUS,贵港,46,SUV,7.58-9.88,燃油车,8.73,0
传祺GS3,长沙,32,SUV,8.58-11.18,燃油车,9.879999999999999,0
途观L,无锡,172,SUV,18.68-26.68,燃油车,22.68,0
皇冠陆放,合肥,23,SUV,27.78-35.28,燃油车,31.53,0
红旗H5,凉山,24,中型车,15.98-22.58,燃油车,19.28,0
星越L,嘉兴,125,SUV,13.72-17.97,燃油车,15.844999999999999,0
轩逸,百色,64,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
宝马5系,大连,40,中大型车,43.99-52.59,燃油车,48.290000000000006,0
问界M7,长春,18,SUV,24.98-32.98,新能源,28.979999999999997,1
秦L,梧州,33,中型车,9.98-15.38,新能源,12.68,1
汉L,上海,129,中大型车,20.98-27.98,新能源,24.48,1
奔驰GLC,德阳,29,SUV,42.78-53.13,燃油车,47.955,0
本田CR-V,钦州,15,SUV,18.59-26.39,燃油车,22.490000000000002,0
保时捷718,成都,11,跑车,54.50-157.80,燃油车,106.15,0
奇瑞iCAR V23,绍兴,17,SUV,9.98-14.98,燃油车,12.48,0
哈弗二代大狗,太原,36,SUV,13.58-15.68,燃油车,14.629999999999999,0
岚图梦想家,淄博,27,MPV,32.99-63.99,新能源,48.49,1
长安CS75 PLUS,惠州,88,SUV,11.39-14.99,燃油车,13.190000000000001,0
长安欧尚X5 PLUS,武威,24,SUV,9.19-11.49,燃油车,10.34,0
宋PLUS新能源,营口,55,SUV,13.58-18.08,新能源,15.829999999999998,1
速腾,上海,310,紧凑型车,12.79-17.29,燃油车,15.04,0
长安启源Q07,阜阳,20,SUV,12.98-17.18,燃油车,15.08,0
宝马4系,苏州,70,中型车,37.99-57.69,燃油车,47.84,0
瑞虎8L,石家庄,24,SUV,12.99-17.49,燃油车,15.239999999999998,0
欧萌达,金华,17,SUV,10.99-12.99,燃油车,11.99,0
风云T9,六盘水,13,SUV,12.99-19.39,燃油车,16.19,0
沃尔沃S60,南京,80,中型车,30.69-38.49,燃油车,34.59,0
极狐 阿尔法S5,盐城,15,中型车,12.78-18.48,燃油车,15.629999999999999,0
小蚂蚁,徐州,13,微型车,5.49-7.69,燃油车,6.59,0
五菱宏光S,阜阳,15,MPV,0.00-0.00,燃油车,0.0,0
领克06 EM-P,天津,24,SUV,13.68-15.68,燃油车,14.68,0
速腾,白山,11,紧凑型车,12.79-17.29,燃油车,15.04,0
五菱宏光S,无锡,24,MPV,0.00-0.00,燃油车,0.0,0
汉兰达,大连,67,SUV,24.98-34.88,新能源,29.93,1
星愿,亳州,155,小型车,6.88-9.78,燃油车,8.33,0
途观L,西宁,108,SUV,18.68-26.68,燃油车,22.68,0
深蓝S05,濮阳,14,SUV,11.99-14.99,新能源,13.49,1
smart精灵#1,北京,51,SUV,15.49-28.49,燃油车,21.99,0
缤越,大同,21,SUV,6.68-10.38,燃油车,8.530000000000001,0
深蓝S05,漳州,21,SUV,11.99-14.99,新能源,13.49,1
小海狮X30,枣庄,11,MPV,3.49-5.19,燃油车,4.34,0
昂科威Plus,淮南,12,SUV,22.99-25.99,燃油车,24.49,0
奔驰GLB,淄博,21,SUV,31.19-36.79,燃油车,33.99,0
速腾,本溪,17,紧凑型车,12.79-17.29,燃油车,15.04,0
凯美瑞,漯河,22,中型车,17.18-25.98,燃油车,21.58,0
理想L6,宁波,361,SUV,24.98-27.98,新能源,26.48,1
领克900,驻马店,12,SUV,30.99-41.69,燃油车,36.339999999999996,0
逸动,黄石,24,紧凑型车,7.29-9.69,燃油车,8.49,0
逸动,忻州,20,紧凑型车,7.29-9.69,燃油车,8.49,0
雷克萨斯ES,昆明,121,中大型车,29.69-48.89,燃油车,39.29,0
领克07 EM-P,台州,21,中型车,16.98-18.98,燃油车,17.98,0
途观L,长春,49,SUV,18.68-26.68,燃油车,22.68,0
传祺GS3,朔州,20,SUV,8.58-11.18,燃油车,9.879999999999999,0
深蓝S07,孝感,14,SUV,14.99-20.79,新能源,17.89,1
RAV4荣放,伊春,18,SUV,16.98-26.38,燃油车,21.68,0
五菱星光S,红河,14,SUV,9.98-12.98,燃油车,11.48,0
艾瑞泽8,鄂尔多斯,11,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
银河E5,绍兴,97,SUV,11.28-14.88,燃油车,13.08,0
风云T9,沧州,23,SUV,12.99-19.39,燃油车,16.19,0
银河星耀8,揭阳,11,中大型车,12.58-16.58,燃油车,14.579999999999998,0
元PLUS,十堰,17,SUV,11.58-14.78,新能源,13.18,1
启辰VX6,南宁,63,SUV,13.49-19.98,燃油车,16.735,0
汉兰达,大理,25,SUV,24.98-34.88,新能源,29.93,1
坦克500新能源,青岛,41,SUV,33.50-36.38,新能源,34.94,1
领克Z20,镇江,11,SUV,13.89-15.39,燃油车,14.64,0
亚洲龙,贺州,19,中型车,17.88-27.98,燃油车,22.93,0
宏光MINIEV,海口,63,微型车,3.28-9.99,新能源,6.635,1
AION RT,温州,41,紧凑型车,11.98-16.58,新能源,14.28,1
星越L,娄底,30,SUV,13.72-17.97,燃油车,15.844999999999999,0
电动MINI COOPER,杭州,34,小型车,20.98-25.98,新能源,23.48,1
领克03,柳州,12,紧凑型车,12.78-42.03,燃油车,27.405,0
领克08 EM-P,无锡,17,SUV,18.58-24.88,燃油车,21.729999999999997,0
宋Pro新能源,曲靖,12,SUV,10.28-14.28,新能源,12.28,1
Model 3,宜昌,54,中型车,23.19-33.95,新能源,28.57,1
宝马3系,德阳,40,中型车,29.99-39.99,燃油车,34.99,0
五菱宏光V,吉林,13,MPV,4.31-5.45,燃油车,4.88,0
宋PLUS新能源,昌吉,72,SUV,13.58-18.08,新能源,15.829999999999998,1
星瑞,咸宁,11,紧凑型车,9.97-14.57,燃油车,12.27,0
海鸥,嘉兴,158,小型车,6.98-8.58,新能源,7.78,1
银河星舰7 EM-i,赤峰,15,SUV,10.38-13.68,燃油车,12.030000000000001,0
秦PLUS,开封,139,紧凑型车,7.98-17.98,新能源,12.98,1
smart精灵#1,上海,154,SUV,15.49-28.49,燃油车,21.99,0
宋PLUS新能源,廊坊,114,SUV,13.58-18.08,新能源,15.829999999999998,1
格瑞维亚,赤峰,11,MPV,29.98-41.68,燃油车,35.83,0
宋L DM-i,长治,24,SUV,13.58-17.58,新能源,15.579999999999998,1
奇瑞iCAR 03,鄂尔多斯,11,SUV,10.98-16.98,燃油车,13.98,0
五菱宏光S,阿勒泰,12,MPV,0.00-0.00,燃油车,0.0,0
汉,威海,21,中大型车,16.58-25.98,新能源,21.28,1
QQ冰淇淋,邯郸,22,微型车,2.99-5.69,燃油车,4.34,0
坦克300新能源,泉州,11,SUV,24.98-26.98,新能源,25.98,1
星愿,黔西南,92,小型车,6.88-9.78,燃油车,8.33,0
传祺向往S7,保定,12,SUV,17.58-22.98,燃油车,20.28,0
领克03,蚌埠,15,紧凑型车,12.78-42.03,燃油车,27.405,0
朗逸,滨州,231,紧凑型车,8.00-15.19,燃油车,11.594999999999999,0
奔腾小马,天津,62,微型车,2.49-5.39,燃油车,3.94,0
日产N7,杭州,53,中大型车,11.99-14.99,燃油车,13.49,0
海豹06新能源,三亚,15,中型车,9.98-13.98,新能源,11.98,1
风云T9,长春,31,SUV,12.99-19.39,燃油车,16.19,0
五菱荣光S,泉州,13,MPV,4.09-4.76,燃油车,4.425,0
日产N7,茂名,16,中大型车,11.99-14.99,燃油车,13.49,0
秦PLUS,安康,17,紧凑型车,7.98-17.98,新能源,12.98,1
零跑C16,新余,11,SUV,15.18-18.98,新能源,17.08,1
海鸥,天水,18,小型车,6.98-8.58,新能源,7.78,1
领克08 EM-P,上海,51,SUV,18.58-24.88,燃油车,21.729999999999997,0
AION Y,临沂,233,SUV,9.98-14.58,新能源,12.280000000000001,1
奔驰GLC,丽水,20,SUV,42.78-53.13,燃油车,47.955,0
宋PLUS新能源,宣城,20,SUV,13.58-18.08,新能源,15.829999999999998,1
乐道L60,徐州,80,SUV,20.69-25.59,燃油车,23.14,0
雷凌,上海,11,紧凑型车,11.38-14.88,燃油车,13.13,0
瑞虎8 PLUS,孝感,11,SUV,10.99-16.29,燃油车,13.64,0
捷达VS5,泸州,20,SUV,8.79-12.19,燃油车,10.489999999999998,0
凯迪拉克CT5,福州,21,中型车,28.99-34.59,燃油车,31.79,0
奔驰GLE,大连,27,SUV,69.98-88.98,燃油车,79.48,0
哈弗大狗,曲靖,11,SUV,11.99-16.79,燃油车,14.39,0
传祺M6,临沂,39,MPV,11.98-15.98,燃油车,13.98,0
荣威D7,合肥,12,中型车,12.38-21.98,燃油车,17.18,0
速腾,宿州,32,紧凑型车,12.79-17.29,燃油车,15.04,0
哈弗大狗,上海,34,SUV,11.99-16.79,燃油车,14.39,0
捷途山海T2,潍坊,14,SUV,17.99-23.99,燃油车,20.99,0
奥迪A3,西宁,23,紧凑型车,16.59-25.13,燃油车,20.86,0
捷途自由者,沈阳,52,SUV,12.49-15.49,燃油车,13.99,0
奥迪A3,九江,11,紧凑型车,16.59-25.13,燃油车,20.86,0
五菱荣光,西安,14,MPV,5.09-5.76,燃油车,5.425,0
奔驰GLC,成都,373,SUV,42.78-53.13,燃油车,47.955,0
星越L,中山,95,SUV,13.72-17.97,燃油车,15.844999999999999,0
红旗HS3,成都,65,SUV,14.58-19.58,燃油车,17.08,0
深蓝S05,惠州,50,SUV,11.99-14.99,新能源,13.49,1
迈腾,扬州,28,中型车,17.49-24.69,燃油车,21.09,0
小鹏P7+,黄石,15,中大型车,18.68-20.88,新能源,19.78,1
长安CS75,张家口,11,SUV,10.29-11.99,燃油车,11.14,0
理想L7,大连,96,SUV,30.18-35.98,新能源,33.08,1
思域,无锡,42,紧凑型车,12.99-18.79,燃油车,15.89,0
帝豪,上饶,45,紧凑型车,6.29-14.98,燃油车,10.635,0
威兰达,莆田,18,SUV,17.38-26.48,燃油车,21.93,0
深蓝L07,昆明,21,中型车,15.19-17.39,新能源,16.29,1
缤越,安庆,16,SUV,6.68-10.38,燃油车,8.530000000000001,0
海狮07 EV,天津,16,SUV,18.98-23.98,新能源,21.48,1
捷途大圣,黔南,25,SUV,9.39-13.68,燃油车,11.535,0
逍客,上海,29,SUV,12.59-17.49,燃油车,15.04,0
亚洲龙,滨州,31,中型车,17.88-27.98,燃油车,22.93,0
秦L,吉安,69,中型车,9.98-15.38,新能源,12.68,1
钛3,呼和浩特,36,SUV,13.38-19.38,燃油车,16.38,0
钇为3,济宁,19,小型车,6.99-14.99,燃油车,10.99,0
亚洲龙,枣庄,17,中型车,17.88-27.98,燃油车,22.93,0
宏光MINIEV,岳阳,40,微型车,3.28-9.99,新能源,6.635,1
腾势N9,镇江,12,SUV,38.98-44.98,新能源,41.98,1
魏牌 蓝山,深圳,71,SUV,27.38-32.68,燃油车,30.03,0
铂智3X,唐山,25,SUV,10.98-15.98,燃油车,13.48,0
奥迪Q5L,凉山,12,SUV,34.98-48.88,燃油车,41.93,0
奥迪A3,南通,88,紧凑型车,16.59-25.13,燃油车,20.86,0
欧萌达,青岛,16,SUV,10.99-12.99,燃油车,11.99,0
宋PLUS新能源,南昌,136,SUV,13.58-18.08,新能源,15.829999999999998,1
风云T9,昭通,12,SUV,12.99-19.39,燃油车,16.19,0
享界S9,福州,22,中大型车,30.98-44.98,新能源,37.98,1
哈弗H6,天水,22,SUV,9.89-14.69,燃油车,12.29,0
夏,厦门,14,MPV,24.98-30.98,燃油车,27.98,0
汉兰达,新余,11,SUV,24.98-34.88,新能源,29.93,1
昊铂HT,郑州,20,SUV,21.39-32.99,燃油车,27.19,0
捷达VS5,临沂,46,SUV,8.79-12.19,燃油车,10.489999999999998,0
帝豪,白银,16,紧凑型车,6.29-14.98,燃油车,10.635,0
宏光MINIEV,廊坊,278,微型车,3.28-9.99,新能源,6.635,1
皓影,菏泽,16,SUV,18.59-26.39,燃油车,22.490000000000002,0
威兰达,肇庆,53,SUV,17.38-26.48,燃油车,21.93,0
秦L,泉州,124,中型车,9.98-15.38,新能源,12.68,1
深蓝S07,郑州,98,SUV,14.99-20.79,新能源,17.89,1
枫叶60s,重庆,181,紧凑型车,9.98-16.38,燃油车,13.18,0
汉,呼和浩特,46,中大型车,16.58-25.98,新能源,21.28,1
小鹏MONA M03,廊坊,15,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
皓影,保定,102,SUV,18.59-26.39,燃油车,22.490000000000002,0
途岳,岳阳,30,SUV,12.59-21.66,燃油车,17.125,0
星愿,西双版纳,32,小型车,6.88-9.78,燃油车,8.33,0
索纳塔,金华,15,中型车,13.98-20.58,燃油车,17.28,0
银河星耀8,娄底,17,中大型车,12.58-16.58,燃油车,14.579999999999998,0
瑞虎9,深圳,32,SUV,15.29-20.99,燃油车,18.14,0
途观L,淮南,30,SUV,18.68-26.68,燃油车,22.68,0
海狮05 EV,邯郸,34,SUV,11.78-13.78,新能源,12.78,1
荣威D7,淮安,17,中型车,12.38-21.98,燃油车,17.18,0
奥迪Q5L,牡丹江,16,SUV,34.98-48.88,燃油车,41.93,0
五菱宏光S,西宁,13,MPV,0.00-0.00,燃油车,0.0,0
别克GL8新能源,泰安,37,MPV,24.99-41.99,新能源,33.49,1
长安UNI-Z新能源,上海,12,SUV,11.79-13.39,新能源,12.59,1
领克Z20,惠州,19,SUV,13.89-15.39,燃油车,14.64,0
轩逸,鄂尔多斯,26,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
星愿,淮南,62,小型车,6.88-9.78,燃油车,8.33,0
元PLUS,赣州,37,SUV,11.58-14.78,新能源,13.18,1
君越,合肥,73,中型车,17.99-23.99,燃油车,20.99,0
宝骏悦也Plus,洛阳,14,SUV,7.68-10.58,燃油车,9.129999999999999,0
传祺M6,东莞,34,MPV,11.98-15.98,燃油车,13.98,0
银河星耀8,青岛,40,中大型车,12.58-16.58,燃油车,14.579999999999998,0
威兰达,武威,21,SUV,17.38-26.48,燃油车,21.93,0
银河L7,北京,31,SUV,11.58-16.97,燃油车,14.274999999999999,0
荣威i5,朔州,27,紧凑型车,6.89-9.09,燃油车,7.99,0
传祺GS8,银川,30,SUV,15.98-24.68,燃油车,20.33,0
海豹06新能源,盘锦,34,中型车,9.98-13.98,新能源,11.98,1
星瑞,南充,39,紧凑型车,9.97-14.57,燃油车,12.27,0
普拉多,济南,22,SUV,44.98-55.98,燃油车,50.48,0
岚图梦想家,南昌,25,MPV,32.99-63.99,新能源,48.49,1
宝马3系,达州,20,中型车,29.99-39.99,燃油车,34.99,0
揽巡,沧州,28,SUV,24.29-32.59,燃油车,28.44,0
哈弗H5,郑州,27,SUV,12.28-19.28,燃油车,15.780000000000001,0
Model Y,江门,77,SUV,26.35-31.35,新能源,28.85,1
帕萨特,乌鲁木齐,125,中型车,16.45-23.99,燃油车,20.22,0
极狐 阿尔法T5(ARCFOX αT5),镇江,35,SUV,11.98-19.98,燃油车,15.98,0
卡罗拉,南昌,21,紧凑型车,11.68-15.58,燃油车,13.629999999999999,0
腾势N9,东莞,71,SUV,38.98-44.98,新能源,41.98,1
雷克萨斯NX,大连,31,SUV,31.88-54.88,燃油车,43.38,0
长安欧尚X5 PLUS,常州,16,SUV,9.19-11.49,燃油车,10.34,0
五菱宏光S,昌吉,28,MPV,0.00-0.00,燃油车,0.0,0
宝马5系,郴州,17,中大型车,43.99-52.59,燃油车,48.290000000000006,0
沃尔沃S60,常德,11,中型车,30.69-38.49,燃油车,34.59,0
皓影,台州,27,SUV,18.59-26.39,燃油车,22.490000000000002,0
长安UNI-V,阜阳,36,紧凑型车,10.89-13.99,燃油车,12.440000000000001,0
SKY EV01,成都,573,SUV,14.99-18.99,新能源,16.99,1
小米SU7 Ultra,南宁,28,中大型车,52.99-81.49,新能源,67.24,1
亚洲龙,中山,141,中型车,17.88-27.98,燃油车,22.93,0
轩逸,营口,82,紧凑型车,10.86-17.49,燃油车,14.174999999999999,0
红旗HS5,舟山,11,SUV,18.38-24.98,燃油车,21.68,0
传祺M8,泉州,32,MPV,17.98-34.28,燃油车,26.130000000000003,0
星越L,临沂,164,SUV,13.72-17.97,燃油车,15.844999999999999,0
荣威D6,长沙,44,紧凑型车,9.98-13.98,燃油车,11.98,0
秦L,揭阳,45,中型车,9.98-15.38,新能源,12.68,1
五菱之光,吕梁,30,MPV,3.51-3.79,燃油车,3.65,0
红旗HS5,上饶,11,SUV,18.38-24.98,燃油车,21.68,0
红旗H5,六安,23,中型车,15.98-22.58,燃油车,19.28,0
北京EU5,东莞,207,紧凑型车,12.99-17.19,燃油车,15.09,0
深蓝S05,北京,174,SUV,11.99-14.99,新能源,13.49,1
蔚来ES6,广州,180,SUV,33.80-39.60,新能源,36.7,1
宋PLUS新能源,岳阳,67,SUV,13.58-18.08,新能源,15.829999999999998,1
宋PLUS新能源,天津,437,SUV,13.58-18.08,新能源,15.829999999999998,1
海豹05 DM-i,丹东,18,紧凑型车,7.98-10.38,新能源,9.18,1
索纳塔,石家庄,21,中型车,13.98-20.58,燃油车,17.28,0
RAV4荣放,泉州,104,SUV,16.98-26.38,燃油车,21.68,0
传祺向往S7,郑州,32,SUV,17.58-22.98,燃油车,20.28,0
纳米01,烟台,62,小型车,6.58-13.98,燃油车,10.280000000000001,0
五菱宏光V,沧州,25,MPV,4.31-5.45,燃油车,4.88,0
奔驰E级,成都,369,中大型车,44.72-59.98,燃油车,52.349999999999994,0
途岳,广州,161,SUV,12.59-21.66,燃油车,17.125,0
坦克300新能源,绍兴,13,SUV,24.98-26.98,新能源,25.98,1
EVOS,北京,20,SUV,19.98-25.98,新能源,22.98,1
五菱荣光,南宁,12,MPV,5.09-5.76,燃油车,5.425,0
问界M8,淮安,38,SUV,35.98-44.98,新能源,40.48,1
速腾,淄博,41,紧凑型车,12.79-17.29,燃油车,15.04,0
宋PLUS新能源,兴安盟,38,SUV,13.58-18.08,新能源,15.829999999999998,1
秦PLUS,阿克苏,87,紧凑型车,7.98-17.98,新能源,12.98,1
奇瑞iCAR 03,沈阳,33,SUV,10.98-16.98,燃油车,13.98,0
北京BJ60,成都,17,SUV,23.98-28.58,燃油车,26.28,0
宋L DM-i,贵阳,62,SUV,13.58-17.58,新能源,15.579999999999998,1
银河星耀8,漳州,15,中大型车,12.58-16.58,燃油车,14.579999999999998,0
汉L,合肥,109,中大型车,20.98-27.98,新能源,24.48,1
长安CS75 PLUS,南昌,70,SUV,11.39-14.99,燃油车,13.190000000000001,0
瑞虎9,南京,19,SUV,15.29-20.99,燃油车,18.14,0
海豹05 DM-i,安阳,18,紧凑型车,7.98-10.38,新能源,9.18,1
极狐 阿尔法T5(ARCFOX αT5),重庆,47,SUV,11.98-19.98,燃油车,15.98,0
传祺GS3,延安,34,SUV,8.58-11.18,燃油车,9.879999999999999,0
威兰达,拉萨,20,SUV,17.38-26.48,燃油车,21.93,0
钛3,芜湖,18,SUV,13.38-19.38,燃油车,16.38,0
星愿,朝阳,44,小型车,6.88-9.78,燃油车,8.33,0
奔驰GLC,济宁,16,SUV,42.78-53.13,燃油车,47.955,0
昂科威Plus,南京,164,SUV,22.99-25.99,燃油车,24.49,0
RAV4荣放,玉林,21,SUV,16.98-26.38,燃油车,21.68,0
锐界,南京,37,SUV,22.68-30.98,燃油车,26.83,0
普拉多,合肥,14,SUV,44.98-55.98,燃油车,50.48,0
海豹06新能源,阿克苏,84,中型车,9.98-13.98,新能源,11.98,1
问界M7,绍兴,13,SUV,24.98-32.98,新能源,28.979999999999997,1
荣威D6,运城,11,紧凑型车,9.98-13.98,燃油车,11.98,0
小鹏X9,天津,18,MPV,35.98-41.98,新能源,38.98,1
小鹏MONA M03,无锡,144,紧凑型车,11.98-15.58,新能源,13.780000000000001,1
钛3,榆林,19,SUV,13.38-19.38,燃油车,16.38,0
长安UNI-Z新能源,南昌,15,SUV,11.79-13.39,新能源,12.59,1
理想L7,吉林,17,SUV,30.18-35.98,新能源,33.08,1
智界S7,深圳,23,中大型车,22.98-34.98,新能源,28.979999999999997,1
速腾,呼伦贝尔,32,紧凑型车,12.79-17.29,燃油车,15.04,0
宝马X7,苏州,11,SUV,103.90-172.90,燃油车,138.4,0
格瑞维亚,湖州,18,MPV,29.98-41.68,燃油车,35.83,0
江豚E5,芜湖,15,MPV,5.69-13.58,燃油车,9.635,0
宋PLUS新能源,晋中,55,SUV,13.58-18.08,新能源,15.829999999999998,1
荣威D7,东莞,11,中型车,12.38-21.98,燃油车,17.18,0
捷途自由者,喀什,11,SUV,12.49-15.49,燃油车,13.99,0
秦L,西双版纳,16,中型车,9.98-15.38,新能源,12.68,1
宋PLUS新能源,渭南,65,SUV,13.58-18.08,新能源,15.829999999999998,1
捷达VA3,白山,32,紧凑型车,6.58-9.48,燃油车,8.030000000000001,0
荣威D7,西安,12,中型车,12.38-21.98,燃油车,17.18,0
铂智3X,海口,51,SUV,10.98-15.98,燃油车,13.48,0
传祺E8,太原,21,MPV,16.68-23.58,燃油车,20.13,0
瑞虎9,重庆,81,SUV,15.29-20.99,燃油车,18.14,0
日产N7,深圳,54,中大型车,11.99-14.99,燃油车,13.49,0
深蓝S05,泸州,22,SUV,11.99-14.99,新能源,13.49,1
MG5,济宁,29,紧凑型车,6.79-9.99,燃油车,8.39,0
红旗HS5,郴州,16,SUV,18.38-24.98,燃油车,21.68,0
奔驰GLC,泸州,21,SUV,42.78-53.13,燃油车,47.955,0
速腾,咸阳,95,紧凑型车,12.79-17.29,燃油车,15.04,0
奔驰CLE,佛山,17,跑车,45.76-59.63,燃油车,52.695,0
途岳,天津,191,SUV,12.59-21.66,燃油车,17.125,0
汉L,黄冈,25,中大型车,20.98-27.98,新能源,24.48,1
极氪7X,济南,57,SUV,22.99-26.99,新能源,24.99,1
极氪009,南京,18,MPV,43.90-89.90,新能源,66.9,1
问界M9,宜春,17,SUV,46.98-56.98,新能源,51.98,1
领克08 EM-P,杭州,100,SUV,18.58-24.88,燃油车,21.729999999999997,0
五菱宏光V,阜阳,29,MPV,4.31-5.45,燃油车,4.88,0
奥迪A7L,无锡,44,中大型车,41.87-66.62,燃油车,54.245000000000005,0
途昂,凉山,19,SUV,24.90-38.90,燃油车,31.9,0
奥迪A6L,昆明,117,中大型车,42.79-65.68,燃油车,54.235,0
星愿,乌鲁木齐,160,小型车,6.88-9.78,燃油车,8.33,0
昂科威Plus,嘉峪关,42,SUV,22.99-25.99,燃油车,24.49,0
奥迪A4L,盐城,48,中型车,28.98-40.08,燃油车,34.53,0
深蓝S09,乌鲁木齐,11,SUV,23.99-30.99,新能源,27.49,1
AION UT,石家庄,63,小型车,6.98-10.18,新能源,8.58,1
奥迪Q6,乌鲁木齐,24,SUV,46.76-61.56,燃油车,54.16,0
奔驰E级,兰州,59,中大型车,44.72-59.98,燃油车,52.349999999999994,0
海豹05 DM-i,邵阳,13,紧凑型车,7.98-10.38,新能源,9.18,1
荣威i5,开封,32,紧凑型车,6.89-9.09,燃油车,7.99,0
五菱荣光,东莞,13,MPV,5.09-5.76,燃油车,5.425,0
传祺M8,海口,18,MPV,17.98-34.28,燃油车,26.130000000000003,0
深蓝S05,临沂,136,SUV,11.99-14.99,新能源,13.49,1
问界M5,贵阳,50,SUV,22.98-27.98,新能源,25.48,1
哈弗H6,绵阳,21,SUV,9.89-14.69,燃油车,12.29,0
智界R7,成都,215,SUV,24.98-33.98,新能源,29.479999999999997,1
奔腾小马,恩施,13,微型车,2.49-5.39,燃油车,3.94,0
银河L7,苏州,33,SUV,11.58-16.97,燃油车,14.274999999999999,0
唐新能源,绵阳,14,SUV,17.98-26.98,新能源,22.48,1
极氪007GT,武汉,295,中型车,20.29-26.29,新能源,23.29,1
奔驰GLC,红河,12,SUV,42.78-53.13,燃油车,47.955,0
AION UT,开封,22,小型车,6.98-10.18,新能源,8.58,1
途岳,安顺,25,SUV,12.59-21.66,燃油车,17.125,0
零跑C16,鄂尔多斯,22,SUV,15.18-18.98,新能源,17.08,1
五菱缤果,晋城,78,小型车,5.68-8.88,燃油车,7.28,0
宝马i3,临沂,15,中型车,35.39-41.39,燃油车,38.39,0
艾瑞泽8,珠海,37,紧凑型车,9.99-14.89,燃油车,12.440000000000001,0
奇瑞iCAR V23,济南,53,SUV,9.98-14.98,燃油车,12.48,0
